Date,Open,High,Low,Last,Close,Total Trade
10/8/2022,1467.589966,1474.089966,1448.51001,1453.699951,1453.699951,22753400
10/5/2022,1453.660034,1464.939941,1438.530029,1439.180054,1439.180054,20434100
10/4/2022,1441.349976,1481.369995,1441.349976,1481.050049,1481.050049,16873900
10/3/2022,1483.400024,1492.140015,1466.469971,1470.579956,1470.579956,16173200
10/1/2022,1468.040039,1472.670044,1443.48999,1451.150024,1451.150024,13921400
9/28/2022,1453.089966,1462.180054,1443.98999,1458.73999,1458.73999,18067500
9/27/2022,1456.699951,1456.699951,1430.420044,1433.27002,1433.27002,11043700
9/26/2022,1434.51001,1452.640015,1419.280029,1439.699951,1439.699951,19661500
9/25/2022,1434.709961,1436.400024,1415.640015,1416.77002,1416.77002,14012900
9/24/2022,1417.619995,1440.859985,1417.619995,1440.699951,1440.699951,5471900
9/21/2022,1440.73999,1446.089966,1406.099976,1407.219971,1407.219971,13566600
9/19/2022,1409.589966,1429.48999,1407.430054,1428.22998,1428.22998,17791100
9/18/2022,1432.949951,1471.619995,1432.949951,1469.02002,1469.02002,15817100
9/17/2022,1467.410034,1473.810059,1458.359985,1469.719971,1469.719971,12403500
9/14/2022,1471.829956,1488.939941,1470.890015,1481.140015,1481.140015,15775200
9/12/2022,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,8641500
9/11/2022,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,8455100
9/10/2022,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,8410700
9/7/2022,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,9808100
9/6/2022,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,7696400
9/5/2022,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,7704600
9/4/2022,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,12265900
9/3/2022,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,12305800
8/31/2022,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,10071500
8/30/2022,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,7339600
8/29/2022,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,10961000
8/28/2022,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,14319000
8/27/2022,1454.699951,1464.420044,1445.310059,1453,1453,8833300
8/24/2022,1456.420044,1461.530029,1447.219971,1460.119995,1460.119995,8835500
8/23/2022,1463.189941,1485.400024,1463.189941,1484.459961,1484.459961,10753200
8/21/2022,1484.550049,1497.630005,1484.550049,1496.449951,1496.449951,3253500
8/20/2022,1495.119995,1498.849976,1488.199951,1497.660034,1497.660034,5054900
8/17/2022,1495.050049,1495.050049,1475.859985,1476.27002,1476.27002,5879100
8/16/2022,1479.829956,1488.01001,1471.699951,1478.48999,1478.48999,5120200
8/14/2022,1475.25,1475.829956,1465.130005,1468.359985,1468.359985,4747600
8/13/2022,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,8605100
8/10/2022,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,6498400
8/9/2022,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,10708800
8/8/2022,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,12793900
8/7/2022,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,10667500
8/6/2022,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,13465900
8/3/2022,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,12655700
8/2/2022,1419.910034,1419.910034,1394.829956,1401.02002,1401.02002,9944000
8/1/2022,1402.910034,1417.890015,1402.910034,1416.25,1416.25,8886100
7/31/2022,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,11125200
7/30/2022,1377.410034,1391.98999,1364.27002,1373.199951,1373.199951,21098800
7/27/2022,1374.790039,1377.719971,1330.670044,1333.25,1333.25,16417100
7/26/2022,1333.900024,1350.280029,1312.51001,1325.189941,1325.189941,17062100
7/25/2022,1312.939941,1322.089966,1274.290039,1310.5,1310.5,18983900
7/24/2022,1310.410034,1339.089966,1270.050049,1338.599976,1338.599976,33897400
7/23/2022,1340.130005,1355.150024,1334.310059,1352.069946,1352.069946,18782900
7/20/2022,1357.319946,1368.560059,1327.5,1330.609985,1330.609985,13918000
7/19/2022,1330.699951,1353.969971,1322.26001,1353.959961,1353.959961,11621700
7/18/2022,1355.939941,1364.930054,1350.189941,1362.300049,1362.300049,12553400
7/17/2022,1362.219971,1385.859985,1352.949951,1355.810059,1355.810059,15863300
7/16/2022,1351.97998,1385.619995,1334.079956,1378.550049,1378.550049,29712800
7/13/2022,1378.599976,1396.02002,1375.930054,1395.420044,1395.420044,35165700
7/12/2022,1395.380005,1395.380005,1379.689941,1380.819946,1380.819946,26287800
7/11/2022,1380.280029,1380.280029,1336.640015,1336.640015,1336.640015,22384100
7/10/2022,1339.47998,1351.959961,1324.339966,1326.449951,1326.449951,15257500
7/9/2022,1324.01001,1347.160034,1316.75,1336.910034,1336.910034,15841900
7/6/2022,1336.880005,1341.219971,1321.060059,1331.290039,1331.290039,13644100
7/5/2022,1331.920044,1341.400024,1320.319946,1339.130005,1339.130005,11640300
7/4/2022,1340.550049,1362.099976,1339.359985,1348.859985,1348.859985,13311200
7/3/2022,1353.119995,1369.22998,1350.780029,1367.209961,1367.209961,13236100
7/2/2022,1367.329956,1368.160034,1347.310059,1348.859985,1348.859985,12940400
6/29/2022,1347.52002,1350,1338.130005,1349.98999,1349.98999,10469700
6/28/2022,1355.859985,1367.280029,1345.050049,1348.780029,1348.780029,12688000
6/27/2022,1348.390015,1363.709961,1336.550049,1360.030029,1360.030029,13311000
6/26/2022,1362.209961,1367.939941,1339.339966,1342.530029,1342.530029,11344200
6/25/2022,1344.219971,1354.300049,1327.040039,1353.109985,1353.109985,11020700
6/22/2022,1352.75,1374.359985,1346.030029,1371.800049,1371.800049,16728800
6/21/2022,1371.76001,1387.339966,1363.290039,1381.290039,1381.290039,46528000
6/20/2022,1378.949951,1388.339966,1372,1380.02002,1380.02002,20223500
6/19/2022,1378.160034,1378.160034,1363.160034,1367.680054,1367.680054,13160600
6/18/2022,1364.069946,1364.069946,1325.420044,1330.630005,1330.630005,18831900
6/15/2022,1330.449951,1335.130005,1320.040039,1331.339966,1331.339966,15093800
6/14/2022,1329.579956,1331.030029,1307.390015,1326.75,1326.75,27216100
6/13/2022,1327.689941,1344.189941,1320.219971,1333.699951,1333.699951,14858300
6/12/2022,1332.199951,1332.199951,1303.420044,1304.339966,1304.339966,14925200
6/11/2022,1301.530029,1313.23999,1282.430054,1293.369995,1293.369995,16127400
6/8/2022,1293.160034,1295.01001,1272.660034,1273.369995,1273.369995,15959200
6/7/2022,1274.400024,1320.650024,1274.400024,1320.650024,1320.650024,17636100
6/6/2022,1321.130005,1333.26001,1307.859985,1308.77002,1308.77002,13290400
6/5/2022,1305.26001,1321.680054,1282.109985,1315.47998,1315.47998,15437700
6/4/2022,1316.050049,1321.469971,1274.859985,1288.140015,1288.140015,13135600
6/1/2022,1283.209961,1287.5,1256.97998,1276.599976,1276.599976,15760600
5/31/2022,1277.160034,1330.73999,1277.160034,1330.73999,1330.73999,14459900
5/30/2022,1330.969971,1341.51001,1298.420044,1298.420044,1298.420044,12345600
5/29/2022,1299.670044,1330.670044,1295.219971,1329.51001,1329.51001,19806900
5/28/2022,1330.290039,1359.680054,1330.290039,1349.880005,1349.880005,13513400
5/25/2022,1349.069946,1357.469971,1341.209961,1352.98999,1352.98999,11651500
5/24/2022,1352.449951,1352.449951,1336.410034,1341.130005,1341.130005,10440900
5/23/2022,1340.339966,1345.619995,1325.660034,1325.76001,1325.76001,11652700
5/22/2022,1327.02002,1334.869995,1312.949951,1315.219971,1315.219971,8743600
5/21/2022,1315.920044,1328.52002,1312.810059,1322.699951,1322.699951,8883900
5/18/2022,1326.410034,1370.180054,1326.410034,1370.180054,1370.180054,12174000
5/17/2022,1369.959961,1377.949951,1361.550049,1367.530029,1367.530029,11986000
5/16/2022,1365.689941,1375.660034,1358.680054,1369.310059,1369.310059,13543200
5/15/2022,1369.849976,1380.910034,1362.829956,1370.400024,1370.400024,11782600
5/14/2022,1373.689941,1386.73999,1369.02002,1372.540039,1372.540039,11875100
5/11/2022,1370.160034,1370.160034,1360.619995,1365.540039,1365.540039,9084900
5/10/2022,1365.5,1368.390015,1349.969971,1354.48999,1354.48999,12084100
5/9/2022,1355.369995,1367.23999,1350.109985,1360.550049,1360.550049,10134600
5/8/2022,1357.97998,1357.97998,1331.209961,1332.829956,1332.829956,8331000
5/7/2022,1332.199951,1335.640015,1326.160034,1328.319946,1328.319946,7677500
5/4/2022,1331.719971,1337.719971,1324.349976,1334.430054,1334.430054,9146000
5/3/2022,1337.02002,1365.48999,1337.02002,1364.709961,1364.709961,15246100
5/2/2022,1363.369995,1368.599976,1357.25,1365.560059,1365.560059,26679200
4/30/2022,1369,1395.900024,1369,1390.329956,1390.329956,36434700
4/27/2022,1387.719971,1390.22998,1379.25,1388.170044,1388.170044,14864500
4/26/2022,1386.430054,1386.430054,1369.839966,1375.939941,1375.939941,15861100
4/25/2022,1378.400024,1387.869995,1372.23999,1379.930054,1379.930054,9833100
4/24/2022,1380.52002,1397.719971,1371.089966,1388.819946,1388.819946,8261900
4/23/2022,1387.880005,1399.109985,1379.97998,1397.839966,1397.839966,8320400
4/20/2022,1397.959961,1402.900024,1394.400024,1396.369995,1396.369995,8009100
4/19/2022,1395.609985,1397,1386.699951,1390.939941,1390.939941,8683300
4/18/2022,1391.219971,1404.569946,1384.25,1385.589966,1385.589966,15790100
4/17/2022,1385.969971,1410.069946,1383.069946,1409.339966,1409.339966,13192300
4/16/2022,1409.160034,1422.719971,1406.25,1413.900024,1413.900024,13983600
4/13/2022,1415.339966,1415.339966,1404.369995,1407.48999,1407.48999,12549400
4/12/2022,1405.599976,1421.569946,1397.099976,1418.26001,1418.26001,9249300
4/11/2022,1417.48999,1419.540039,1391.160034,1392.569946,1392.569946,13212700
4/10/2022,1394.290039,1402.349976,1389.390015,1397.680054,1397.680054,10235500
4/9/2022,1394.900024,1394.900024,1384.109985,1388.280029,1388.280029,8960800
4/6/2022,1389.400024,1404.060059,1386.199951,1403.579956,1403.579956,9718000
4/5/2022,1404.400024,1406.300049,1396.26001,1403.040039,1403.040039,10316600
4/4/2022,1405.650024,1420.189941,1405.650024,1408.660034,1408.660034,8742800
4/3/2022,1408.359985,1424.400024,1406.869995,1423.569946,1423.569946,8676700
4/2/2022,1423.890015,1425.819946,1414.349976,1425.349976,1425.349976,8539600
